movie_name,date,time,quadrant,tank_side,sample,test_line,alter,ref_dob,pat_line,pat_gen,mat_line,mat_gen,fps
20211215_0952_R.avi,20211215,952,q4,R,20211215_0952_50-2_38-2_R_q4,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15,
20211215_1423_R.avi,20211215,1423,q1,R,20211215_1423_50-2_38-2_R_q1,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15,
20211215_1423_R.avi,20211215,1423,q2,R,20211215_1423_50-2_38-2_R_q2,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15,
20211215_1423_R.avi,20211215,1423,q3,R,20211215_1423_38-2_40-1_R_q3,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,28.05.21,38-2,F15,40-1,F15,
20211215_1423_R.avi,20211215,1423,q4,R,20211215_1423_50-2_38-2_R_q4,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,28.05.21,50-2,F15,38-2,F15,
20211217_0951_R.avi,20211217,951,q1,R,20211217_0951_38-2_40-1_R_q1,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,19.05.21,38-2,F15,40-1,F15,
20211217_0951_R.avi,20211217,951,q2,R,20211217_0951_38-2_40-1_R_q2,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,19.05.21,38-2,F15,40-1,F15,
20211217_0951_R.avi,20211217,951,q3,R,20211217_0951_38-2_40-1_R_q3,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,19.05.21,38-2,F15,40-1,F15,
20211217_0951_R.avi,20211217,951,q4,R,20211217_0951_38-2_40-1_R_q4,Pair 12 F2,13.4/22.4/20.4/4.5/25.5/31.5.21,19.05.21,38-2,F15,40-1,F15,
20211217_1106_R.avi,20211217,1106,q1,R,20211217_1106_50-2_18-2_R_q1,Pair 8 F2,22.3/26.4/4.5/10.5/17.5/31.5/08.06.21,09.04.21,50-2,F15,18-2,F14,
